actor_name,actor_tmdb_id,actor_sexuality,confidence_sexuality,reasoning_sexuality
Jeremy Strong,239271,Straight,high,"Jeremy Strong is married to a woman, and there is no public information indicating he has identified as anything other than straight."
Kieran Culkin,18793,Straight,high,"Kieran Culkin is known to be married to an opposite-sex partner, which aligns with the criteria for identifying as Straight."
Sarah Snook,235416,Unknown,medium,"Sarah Snook has not publicly disclosed her sexuality. While she has been in relationships with men, there is no clear statement from her regarding her sexual orientation."
Brian Cox,1248,Straight,high,Brian Cox has been married to a woman and has not publicly disclosed any same-sex relationships.
Matthew Macfadyen,15576,Straight,high,"Matthew Macfadyen is married to actress Keeley Hawes, and there is no public information indicating he has identified as anything other than straight."
Alan Ruck,2394,Straight,high,"Alan Ruck is known to be married to an opposite-sex partner, which aligns with the criteria for identifying as Straight."
J. Smith-Cameron,52475,Straight,high,"J. Smith-Cameron is married to actor and director, 'James Houghton', which indicates a heterosexual relationship."
Nicholas Braun,85139,Unknown,low,"Nicholas Braun has not publicly disclosed his sexuality, and there is limited information available regarding his relationships."
Dagmara Dominczyk,52776,Straight,high,"Dagmara Dominczyk is married to actor Patrick Wilson, and there is no public information indicating any same-sex relationships or a different sexual orientation."
Peter Friedman,54246,Unknown,low,"Peter Friedman has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would indicate a specific category."
Justine Lupe,1689289,Unknown,low,"Justine Lupe has not publicly disclosed her sexuality, and there is no clear information regarding her relationships."
David Rasche,33533,Straight,high,"David Rasche is known to be married to a woman, and there is no public information indicating he has identified as anything other than straight."
Fisher Stevens,26473,Straight,high,"Fisher Stevens has been publicly known to be in relationships with women, including his marriage to actress Michelle Pfeiffer, which indicates a heterosexual orientation."
Tyler Posey,53280,Straight,high,Tyler Posey has been in public relationships with women and has not publicly identified as anything other than straight.
Holland Roden,208782,Unknown,low,"Holland Roden has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Shelley Hennig,444211,Straight,high,Shelley Hennig has been in public relationships with men and has not publicly identified as anything other than straight.
Dylan Sprayberry,236302,Unknown,low,"Dylan Sprayberry has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would allow for a definitive categorization."
Linden Ashby,57251,Straight,high,"Linden Ashby is married to a woman, and there is no public information indicating he has identified as anything other than straight."
Melissa Ponzio,168658,Unknown,low,"Melissa Ponzio has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would indicate a specific category."
JR Bourne,62911,Unknown,low,"JR Bourne has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would indicate a specific category."
H. Jon Benjamin,185773,Straight,high,"H. Jon Benjamin is known to be married to a woman, and there is no public information indicating he has identified as anything other than straight."
John Roberts,1251981,Unknown,low,"There is no publicly available information regarding John Roberts' sexuality, and he has not made any explicit statements about it."
Kristen Schaal,109869,Straight,high,"Kristen Schaal is married to a man, which indicates a straight orientation. There is no public information suggesting otherwise."
Eugene Mirman,1217563,Straight,high,"Eugene Mirman is married to a woman, and there is no public information indicating he identifies as anything other than straight."
Dan Mintz,224512,Unknown,low,"Dan Mintz has not publicly disclosed their sexuality, and there is no available information regarding their relationships that would indicate a specific category."
Larry Murphy,1230596,Unknown,low,"Larry Murphy has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would allow for a definitive categorization."
Blake Lively,59175,Straight,high,"Blake Lively is married to Ryan Reynolds, and there is no public information indicating she identifies as anything other than straight."
Leighton Meester,85825,Straight,high,"Leighton Meester is married to Adam Brody, and there is no public information indicating she identifies as anything other than straight."
Penn Badgley,110927,Straight,high,"Penn Badgley is married to an opposite-sex partner, and he has not publicly identified as anything other than straight."
Chace Crawford,60899,Straight,high,Chace Crawford has been publicly linked to women in relationships and has not disclosed any same-sex relationships or identified as anything other than straight.
Ed Westwick,21662,Straight,high,Ed Westwick has been publicly linked to women in relationships and has not disclosed any same-sex relationships or identified as anything other than straight.
Kaylee DeFer,1216163,Straight,high,Kaylee DeFer is known to be married to an opposite-sex partner and has not publicly identified as anything other than straight.
Matthew Settle,33286,Straight,high,Matthew Settle is known to have been married to an opposite-sex partner and has not publicly identified as anything other than straight.
Kelly Rutherford,53924,Straight,high,"Kelly Rutherford has been publicly known to be in relationships with men and has been married to men, which aligns with the classification of 'Straight'."
Karl Urban,1372,Straight,high,Karl Urban is known to be in a long-term relationship with a woman and has not publicly identified as anything other than straight.
Jack Quaid,1030513,Straight,high,Jack Quaid has been publicly known to be in a relationship with a woman and has not disclosed any information suggesting otherwise.
Antony Starr,60373,Straight,high,"Antony Starr is known to be in a long-term relationship with a woman, and there is no public information indicating he identifies as anything other than straight."
Erin Moriarty,990393,Unknown,low,"Erin Moriarty has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Jessie T. Usher,198847,Unknown,low,"Jessie T. Usher has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would indicate a specific category."
Laz Alonso,10964,Straight,high,Laz Alonso has been publicly known to be in relationships with women and has not publicly identified as anything other than straight.
Tomer Capone,1550587,Unknown,low,"Tomer Capone has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would indicate a specific category."
Karen Fukuhara,1461608,Unknown,low,"Karen Fukuhara has not publicly disclosed her sexuality, and there is no clear information regarding her relationships."
Nathan Mitchell,229422,Unknown,low,"Nathan Mitchell has not publicly disclosed his sexuality, and there is no clear information regarding his relationships."
Colby Minifie,1157294,Unknown,low,"Colby Minifie has not publicly disclosed her sexuality, and there is no clear information regarding her relationships."
Cameron Crovetti,1696015,Unknown,low,"Cameron Crovetti has not publicly disclosed their sexuality, and there is no available information regarding their relationships that would indicate a specific category."
Susan Heyward,1422261,Unknown,low,"There is no publicly available information regarding Susan Heyward's sexuality, and she has not made any explicit statements about it."
Valorie Curry,1181426,Straight,high,"Valorie Curry is known to be in a long-term relationship with a man, and there is no public information indicating any same-sex relationships or a different sexual orientation."
Ellen Pompeo,9280,Straight,high,"Ellen Pompeo is married to a man, Chris Ivery, and has not publicly identified as anything other than straight."
Chandra Wilson,171075,Straight,high,Chandra Wilson is known to be in a long-term relationship with a man and has not publicly identified as anything other than straight.
James Pickens Jr.,25544,Straight,high,"James Pickens Jr. is married to a woman, and there is no public information indicating he has identified as anything other than straight."
Caterina Scorsone,81684,Straight,high,Caterina Scorsone has been publicly known to be in a long-term relationship with a man and has not publicly identified as anything other than straight.
Camilla Luddington,236021,Straight,high,Camilla Luddington is in a long-term relationship with a man and has not publicly identified as anything other than straight.
Kevin McKidd,9013,Straight,high,Kevin McKidd is known to be married to a woman and has not publicly identified as anything other than straight.
Kim Raver,17836,Straight,high,"Kim Raver is known to be married to a man, which aligns with the definition of being straight. There is no public information indicating any same-sex relationships or a different sexual orientation."
Jason George,95475,Straight,high,"Jason George is married to a woman, and there is no public information indicating he has identified as anything other than straight."
Chris Carmack,87440,Straight,high,"Chris Carmack is married to an opposite-sex partner, which aligns with the criteria for identifying as Straight."
Anthony Hill,1583975,Unknown,low,"There is no publicly available information regarding Anthony Hill's sexuality, and he has not made any explicit statements about it."
Adelaide Kane,131781,Unknown,low,"Adelaide Kane has not publicly disclosed her sexuality, and there is limited information regarding her relationships that would allow for a definitive categorization."
Cillian Murphy,2037,Straight,high,"Cillian Murphy is married to a woman, and there is no public information indicating he has identified as anything other than straight."
Paul Anderson,220448,Straight,high,Paul Anderson is married to an opposite-sex partner and has not publicly identified as anything other than straight.
Sophie Rundle,1088620,Straight,high,Sophie Rundle is in a public relationship with a man and has not publicly identified as anything other than straight.
Natasha O'Keeffe,1167897,Unknown,low,"There is no publicly available information regarding Natasha O'Keeffe's sexuality, and she has not made any explicit statements about it."
Peter Dinklage,22970,Straight,high,"Peter Dinklage is married to a woman, Erica Schmidt, and has not publicly identified as anything other than straight."
Kit Harington,239019,Straight,high,"Kit Harington is married to Rose Leslie, and there is no public information indicating he identifies as anything other than straight."
Nikolaj Coster-Waldau,12795,Straight,high,"Nikolaj Coster-Waldau is married to a woman, and there is no public information indicating he has identified as anything other than straight."
Lena Headey,17286,Straight,high,Lena Headey has been publicly known to be in relationships with men and has not publicly identified as anything other than straight.
Emilia Clarke,1223786,Unknown,medium,"Emilia Clarke has not publicly disclosed her sexuality in a definitive manner. While she has been linked to men in relationships, she has not explicitly identified her sexual orientation."
Liam Cunningham,15498,Straight,high,Liam Cunningham is married to a woman and has not publicly identified as anything other than straight.
Maisie Williams,1181313,Unknown,medium,"Maisie Williams has not publicly disclosed her sexuality in a clear manner. While she has discussed her views on sexuality and relationships, she has not explicitly labeled her own sexuality, leading to ambiguity."
Isaac Hempstead Wright,239020,Unknown,low,"Isaac Hempstead Wright has not publicly disclosed his sexuality, and there is no clear information regarding his relationships."
Sophie Turner,1001657,Straight,high,"Sophie Turner is married to Joe Jonas, which indicates a heterosexual relationship. She has not publicly identified as anything other than straight."
John Bradley,1010135,Unknown,low,"John Bradley has not publicly disclosed his sexuality, and there is no clear information regarding his relationships."
Rory McCann,3075,Unknown,low,"Rory McCann has not publicly disclosed his sexuality, and there is limited information available regarding his relationships."
Sean Murray,1230381,Straight,high,"Sean Murray is married to a woman, which indicates a heterosexual relationship. He has not publicly disclosed any information that suggests otherwise."
Wilmer Valderrama,18975,Straight,high,Wilmer Valderrama has been publicly known to be in relationships with women and has not publicly identified as anything other than straight.
Katrina Law,164930,Straight,high,"Katrina Law is known to be in a long-term relationship with a man, and there is no public information indicating any same-sex relationships or a different sexual orientation."
Brian Dietzen,1213580,Straight,high,Brian Dietzen is married to an opposite-sex partner and has not publicly disclosed any information that suggests otherwise.
Rocky Carroll,27448,Straight,high,"Rocky Carroll is known to be married to a woman, which aligns with the criteria for identifying as Straight."
Diona Reasonover,1470346,Unknown,low,"Diona Reasonover has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Gary Cole,21163,Straight,high,"Gary Cole is known to be married to a woman, which aligns with the criteria for identifying as Straight."
William H. Macy,3905,Straight,high,"William H. Macy is married to actress Felicity Huffman, and there is no public information indicating he has identified as anything other than straight."
Jeremy Allen White,206905,Straight,high,"Jeremy Allen White is known to be in a long-term relationship with actress Addison Timlin, and there is no public information indicating he identifies as anything other than straight."
Ethan Cutkosky,132213,Unknown,low,"Ethan Cutkosky has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would allow for a definitive categorization."
