title,start_year,end_year,production_span,genres,media_type,actor_name,actor_tmdb_id,actor_gender_code,actor_gender,actor_ethnicity,actor_sexuality,actor_age_at_release,character_name,is_named_character,character_gender,character_ethnicity,character_sexuality,gender_mismatch,ethnicity_mismatch,sexuality_mismatch,billing_order,role_type,prominence_score,sympathy_coding,arc_quality
Succession,2018,2023,6,Drama|Comedy,tv,Jeremy Strong,239271,2,male,,,,Kendall Roy,True,,,,,,,1,lead,0.3753,,
Succession,2018,2023,6,Drama|Comedy,tv,Kieran Culkin,18793,2,male,,,,Roman Roy,True,,,,,,,3,lead,0.1251,,
Succession,2018,2023,6,Drama|Comedy,tv,Sarah Snook,235416,1,female,,,,Siobhan 'Shiv' Roy,True,,,,,,,4,supporting,0.0938,,
Succession,2018,2023,6,Drama|Comedy,tv,Brian Cox,1248,2,male,,,,Logan Roy,True,,,,,,,5,supporting,0.0751,,
Succession,2018,2023,6,Drama|Comedy,tv,Matthew Macfadyen,15576,2,male,,,,Tom Wambsgans,True,,,,,,,6,supporting,0.0625,,
Succession,2018,2023,6,Drama|Comedy,tv,Alan Ruck,2394,2,male,,,,Connor Roy,True,,,,,,,7,supporting,0.0536,,
Succession,2018,2023,6,Drama|Comedy,tv,J. Smith-Cameron,52475,1,female,,,,Gerri Kellman,True,,,,,,,9,supporting,0.0417,,
Succession,2018,2023,6,Drama|Comedy,tv,Nicholas Braun,85139,2,male,,,,Greg Hirsch,True,,,,,,,10,supporting,0.0375,,
Succession,2018,2023,6,Drama|Comedy,tv,Dagmara Dominczyk,52776,1,female,,,,Karolina Novotney,True,,,,,,,12,minor,0.0313,,
Succession,2018,2023,6,Drama|Comedy,tv,Peter Friedman,54246,2,male,,,,Frank Vernon,True,,,,,,,13,minor,0.0289,,
Succession,2018,2023,6,Drama|Comedy,tv,Justine Lupe,1689289,1,female,,,,Willa Ferreyra,True,,,,,,,14,minor,0.0268,,
Succession,2018,2023,6,Drama|Comedy,tv,David Rasche,33533,2,male,,,,Karl Muller,True,,,,,,,15,minor,0.025,,
Succession,2018,2023,6,Drama|Comedy,tv,Fisher Stevens,26473,2,male,,,,Hugo Baker,True,,,,,,,16,minor,0.0235,,
Teen Wolf,2011,2017,7,Sci-Fi & Fantasy|Drama|Comedy,tv,Tyler Posey,53280,2,male,,,,Scott McCall,True,,,,,,,1,lead,0.5575,,
Teen Wolf,2011,2017,7,Sci-Fi & Fantasy|Drama|Comedy,tv,Holland Roden,208782,1,female,,,,Lydia Martin,True,,,,,,,5,supporting,0.1115,,
Teen Wolf,2011,2017,7,Sci-Fi & Fantasy|Drama|Comedy,tv,Shelley Hennig,444211,1,female,,,,Malia Tate,True,,,,,,,6,supporting,0.0929,,
Teen Wolf,2011,2017,7,Sci-Fi & Fantasy|Drama|Comedy,tv,Dylan Sprayberry,236302,2,male,,,,Liam Dunbar,True,,,,,,,8,supporting,0.0697,,
Teen Wolf,2011,2017,7,Sci-Fi & Fantasy|Drama|Comedy,tv,Linden Ashby,57251,2,male,,,,Noah Stilinski,True,,,,,,,9,supporting,0.0619,,
Teen Wolf,2011,2017,7,Sci-Fi & Fantasy|Drama|Comedy,tv,Melissa Ponzio,168658,1,female,,,,Melissa McCall,True,,,,,,,10,supporting,0.0558,,
Teen Wolf,2011,2017,7,Sci-Fi & Fantasy|Drama|Comedy,tv,JR Bourne,62911,2,male,,,,Chris Argent,True,,,,,,,11,minor,0.0507,,
Bob's Burgers,2011,2025,15,Animation|Comedy,tv,H. Jon Benjamin,185773,2,male,,,,Bob Belcher (voice),False,,,,,,,1,lead,0.4082,,
Bob's Burgers,2011,2025,15,Animation|Comedy,tv,John Roberts,1251981,2,male,,,,Linda Belcher (voice),False,,,,,,,2,lead,0.2041,,
Bob's Burgers,2011,2025,15,Animation|Comedy,tv,Kristen Schaal,109869,1,female,,,,Louise Belcher (voice),False,,,,,,,3,lead,0.1361,,
Bob's Burgers,2011,2025,15,Animation|Comedy,tv,Eugene Mirman,1217563,2,male,,,,Gene Belcher (voice),False,,,,,,,4,supporting,0.102,,
Bob's Burgers,2011,2025,15,Animation|Comedy,tv,Dan Mintz,224512,2,male,,,,Tina Belcher (voice),False,,,,,,,5,supporting,0.0816,,
Bob's Burgers,2011,2025,15,Animation|Comedy,tv,Larry Murphy,1230596,2,male,,,,Teddy (voice),False,,,,,,,6,supporting,0.068,,
Gossip Girl,2007,2012,6,Drama|Mystery,tv,Blake Lively,59175,1,female,,,,Serena van der Woodsen,True,,,,,,,1,lead,0.3772,,
Gossip Girl,2007,2012,6,Drama|Mystery,tv,Leighton Meester,85825,1,female,,,,Blair Waldorf,True,,,,,,,2,lead,0.1886,,
Gossip Girl,2007,2012,6,Drama|Mystery,tv,Penn Badgley,110927,2,male,,,,Dan Humphrey,True,,,,,,,3,lead,0.1257,,
Gossip Girl,2007,2012,6,Drama|Mystery,tv,Chace Crawford,60899,2,male,,,,Nate Archibald,True,,,,,,,4,supporting,0.0943,,
Gossip Girl,2007,2012,6,Drama|Mystery,tv,Ed Westwick,21662,2,male,,,,Chuck Bass,True,,,,,,,5,supporting,0.0754,,
Gossip Girl,2007,2012,6,Drama|Mystery,tv,Kaylee DeFer,1216163,1,female,,,,Ivy Dickens,True,,,,,,,7,supporting,0.0539,,
Gossip Girl,2007,2012,6,Drama|Mystery,tv,Matthew Settle,33286,2,male,,,,Rufus Humphrey,True,,,,,,,8,supporting,0.0471,,
Gossip Girl,2007,2012,6,Drama|Mystery,tv,Kelly Rutherford,53924,1,female,,,,Lily van der Woodsen,True,,,,,,,10,supporting,0.0377,,
The Boys,2019,2026,8,Sci-Fi & Fantasy|Action & Adventure,tv,Karl Urban,1372,2,male,,,,Billy Butcher,True,,,,,,,1,lead,0.3288,,
