title,start_year,end_year,genres,tmdb_id,media_type,actor_name,actor_tmdb_id,actor_gender_code,actor_ethnicity,actor_sexuality,actor_age_at_release,character_name,character_gender,character_ethnicity,character_sexuality,gender_mismatch,ethnicity_mismatch,sexuality_mismatch,billing_order,role_type,prominence_score,sympathy_coding,arc_quality
Succession,2018,2023,Drama|Comedy,76331,tv,Jeremy Strong,239271,2,,,,Kendall Roy,,,,,,,1,lead,,,
Succession,2018,2023,Drama|Comedy,76331,tv,Kieran Culkin,18793,2,,,,Roman Roy,,,,,,,3,lead,,,
Succession,2018,2023,Drama|Comedy,76331,tv,Sarah Snook,235416,1,,,,Siobhan 'Shiv' Roy,,,,,,,4,supporting,,,
Succession,2018,2023,Drama|Comedy,76331,tv,Brian Cox,1248,2,,,,Logan Roy,,,,,,,5,supporting,,,
Succession,2018,2023,Drama|Comedy,76331,tv,Matthew Macfadyen,15576,2,,,,Tom Wambsgans,,,,,,,6,supporting,,,
Succession,2018,2023,Drama|Comedy,76331,tv,Alan Ruck,2394,2,,,,Connor Roy,,,,,,,7,supporting,,,
Succession,2018,2023,Drama|Comedy,76331,tv,J. Smith-Cameron,52475,1,,,,Gerri Kellman,,,,,,,9,supporting,,,
Succession,2018,2023,Drama|Comedy,76331,tv,Nicholas Braun,85139,2,,,,Greg Hirsch,,,,,,,10,supporting,,,
Succession,2018,2023,Drama|Comedy,76331,tv,Dagmara Dominczyk,52776,1,,,,Karolina Novotney,,,,,,,12,minor,,,
Succession,2018,2023,Drama|Comedy,76331,tv,Peter Friedman,54246,2,,,,Frank Vernon,,,,,,,13,minor,,,
Succession,2018,2023,Drama|Comedy,76331,tv,Justine Lupe,1689289,1,,,,Willa Ferreyra,,,,,,,14,minor,,,
Succession,2018,2023,Drama|Comedy,76331,tv,David Rasche,33533,2,,,,Karl Muller,,,,,,,15,minor,,,
Succession,2018,2023,Drama|Comedy,76331,tv,Fisher Stevens,26473,2,,,,Hugo Baker,,,,,,,16,minor,,,
Teen Wolf,2011,2017,Sci-Fi & Fantasy|Drama|Comedy,34524,tv,Tyler Posey,53280,2,,,,Scott McCall,,,,,,,1,lead,,,
Teen Wolf,2011,2017,Sci-Fi & Fantasy|Drama|Comedy,34524,tv,Holland Roden,208782,1,,,,Lydia Martin,,,,,,,5,supporting,,,
Teen Wolf,2011,2017,Sci-Fi & Fantasy|Drama|Comedy,34524,tv,Shelley Hennig,444211,1,,,,Malia Tate,,,,,,,6,supporting,,,
Teen Wolf,2011,2017,Sci-Fi & Fantasy|Drama|Comedy,34524,tv,Dylan Sprayberry,236302,2,,,,Liam Dunbar,,,,,,,8,supporting,,,
Teen Wolf,2011,2017,Sci-Fi & Fantasy|Drama|Comedy,34524,tv,Linden Ashby,57251,2,,,,Noah Stilinski,,,,,,,9,supporting,,,
Teen Wolf,2011,2017,Sci-Fi & Fantasy|Drama|Comedy,34524,tv,Melissa Ponzio,168658,1,,,,Melissa McCall,,,,,,,10,supporting,,,
Teen Wolf,2011,2017,Sci-Fi & Fantasy|Drama|Comedy,34524,tv,JR Bourne,62911,2,,,,Chris Argent,,,,,,,11,minor,,,
Bob's Burgers,2011,2025,Animation|Comedy,32726,tv,H. Jon Benjamin,185773,2,,,,Bob Belcher (voice),,,,,,,1,lead,,,
Bob's Burgers,2011,2025,Animation|Comedy,32726,tv,John Roberts,1251981,2,,,,Linda Belcher (voice),,,,,,,2,lead,,,
Bob's Burgers,2011,2025,Animation|Comedy,32726,tv,Kristen Schaal,109869,1,,,,Louise Belcher (voice),,,,,,,3,lead,,,
Bob's Burgers,2011,2025,Animation|Comedy,32726,tv,Eugene Mirman,1217563,2,,,,Gene Belcher (voice),,,,,,,4,supporting,,,
Bob's Burgers,2011,2025,Animation|Comedy,32726,tv,Dan Mintz,224512,2,,,,Tina Belcher (voice),,,,,,,5,supporting,,,
Bob's Burgers,2011,2025,Animation|Comedy,32726,tv,Larry Murphy,1230596,2,,,,Teddy (voice),,,,,,,6,supporting,,,
Gossip Girl,2007,2012,Drama|Mystery,1395,tv,Blake Lively,59175,1,,,,Serena van der Woodsen,,,,,,,1,lead,,,
Gossip Girl,2007,2012,Drama|Mystery,1395,tv,Leighton Meester,85825,1,,,,Blair Waldorf,,,,,,,2,lead,,,
Gossip Girl,2007,2012,Drama|Mystery,1395,tv,Penn Badgley,110927,2,,,,Dan Humphrey,,,,,,,3,lead,,,
Gossip Girl,2007,2012,Drama|Mystery,1395,tv,Chace Crawford,60899,2,,,,Nate Archibald,,,,,,,4,supporting,,,
Gossip Girl,2007,2012,Drama|Mystery,1395,tv,Ed Westwick,21662,2,,,,Chuck Bass,,,,,,,5,supporting,,,
Gossip Girl,2007,2012,Drama|Mystery,1395,tv,Kaylee DeFer,1216163,1,,,,Ivy Dickens,,,,,,,7,supporting,,,
Gossip Girl,2007,2012,Drama|Mystery,1395,tv,Matthew Settle,33286,2,,,,Rufus Humphrey,,,,,,,8,supporting,,,
Gossip Girl,2007,2012,Drama|Mystery,1395,tv,Kelly Rutherford,53924,1,,,,Lily van der Woodsen,,,,,,,10,supporting,,,
The Boys,2019,2026,Sci-Fi & Fantasy|Action & Adventure,76479,tv,Karl Urban,1372,2,,,,Billy Butcher,,,,,,,1,lead,,,
The Boys,2019,2026,Sci-Fi & Fantasy|Action & Adventure,76479,tv,Jack Quaid,1030513,2,,,,Hugh 'Hughie' Campbell,,,,,,,2,lead,,,
The Boys,2019,2026,Sci-Fi & Fantasy|Action & Adventure,76479,tv,Antony Starr,60373,2,,,,Homelander,,,,,,,3,lead,,,
The Boys,2019,2026,Sci-Fi & Fantasy|Action & Adventure,76479,tv,Erin Moriarty,990393,1,,,,Annie January / Starlight,,,,,,,4,supporting,,,
The Boys,2019,2026,Sci-Fi & Fantasy|Action & Adventure,76479,tv,Jessie T. Usher,198847,2,,,,Reggie Franklin / A-Train,,,,,,,6,supporting,,,
The Boys,2019,2026,Sci-Fi & Fantasy|Action & Adventure,76479,tv,Laz Alonso,10964,2,,,,Marvin T. 'Mother's Milk' Milk / M.M.,,,,,,,7,supporting,,,
The Boys,2019,2026,Sci-Fi & Fantasy|Action & Adventure,76479,tv,Chace Crawford,60899,2,,,,Kevin Moskowitz / The Deep,,,,,,,8,supporting,,,
