title,start_year,end_year,production_span,genres,tmdb_id,media_type,actor_name,actor_tmdb_id,actor_gender_code,actor_gender,actor_age_at_release,character_name,is_named_character,billing_order,role_type,prominence_score,actor_ethnicity,confidence,sympathy_coding,arc_presence,arc_direction,confidence_arc
The Super Mario Galaxy Movie,2026,2026,1,Family|Comedy|Adventure|Fantasy|Animation,1226863,movie,Chris Pratt,73457,2,male,,Mario (voice),True,1,lead,0.278,White,high,protagonist,significant,positive,medium
The Super Mario Galaxy Movie,2026,2026,1,Family|Comedy|Adventure|Fantasy|Animation,1226863,movie,Charlie Day,95101,2,male,,Luigi (voice),True,2,lead,0.139,White,high,protagonist,significant,positive,medium
The Super Mario Galaxy Movie,2026,2026,1,Family|Comedy|Adventure|Fantasy|Animation,1226863,movie,Anya Taylor-Joy,1397778,1,female,,Princess Peach (voice),True,3,lead,0.0927,White,high,protagonist,significant,positive,medium
The Super Mario Galaxy Movie,2026,2026,1,Family|Comedy|Adventure|Fantasy|Animation,1226863,movie,Jack Black,70851,2,male,,Bowser (voice),True,4,supporting,0.0695,White,high,antagonist,flat,none,medium
The Super Mario Galaxy Movie,2026,2026,1,Family|Comedy|Adventure|Fantasy|Animation,1226863,movie,Keegan-Michael Key,298410,2,male,,Toad (voice),True,5,supporting,0.0556,Black,high,neutral,flat,none,low
The Super Mario Galaxy Movie,2026,2026,1,Family|Comedy|Adventure|Fantasy|Animation,1226863,movie,Benny Safdie,227564,2,male,,Bowser Jr. (voice),True,6,supporting,0.0463,White,high,antagonist,flat,none,low
The Super Mario Galaxy Movie,2026,2026,1,Family|Comedy|Adventure|Fantasy|Animation,1226863,movie,Donald Glover,119589,2,male,,Yoshi (voice),True,7,supporting,0.0397,Black,high,neutral,flat,none,low
The Super Mario Galaxy Movie,2026,2026,1,Family|Comedy|Adventure|Fantasy|Animation,1226863,movie,Luis Guzmán,40481,2,male,,Wart (voice),True,8,supporting,0.0347,Hispanic/Latino,high,neutral,flat,none,low
The Super Mario Galaxy Movie,2026,2026,1,Family|Comedy|Adventure|Fantasy|Animation,1226863,movie,Issa Rae,1455336,1,female,,Honey Queen (voice),True,9,supporting,0.0309,Black,high,neutral,flat,none,low
The Super Mario Galaxy Movie,2026,2026,1,Family|Comedy|Adventure|Fantasy|Animation,1226863,movie,Kevin Michael Richardson,24362,2,male,,Kamek (voice),True,10,supporting,0.0278,Black,high,antagonist,flat,none,low
The Super Mario Galaxy Movie,2026,2026,1,Family|Comedy|Adventure|Fantasy|Animation,1226863,movie,Brie Larson,60073,1,female,,Rosalina (voice),True,11,minor,0.0253,White,high,protagonist,significant,positive,medium
The Super Mario Galaxy Movie,2026,2026,1,Family|Comedy|Adventure|Fantasy|Animation,1226863,movie,Glen Powell,83271,2,male,,Fox McCloud (voice),True,12,minor,0.0232,White,high,neutral,flat,none,low
The Super Mario Galaxy Movie,2026,2026,1,Family|Comedy|Adventure|Fantasy|Animation,1226863,movie,Juliet Jelenic,3976319,1,female,,Lumalee (voice),True,13,minor,0.0214,White,medium,neutral,flat,none,low
The Super Mario Galaxy Movie,2026,2026,1,Family|Comedy|Adventure|Fantasy|Animation,1226863,movie,Ed Skudder,1208179,2,male,,R.O.B. (voice),True,14,minor,0.0199,White,high,neutral,flat,none,low
The Super Mario Galaxy Movie,2026,2026,1,Family|Comedy|Adventure|Fantasy|Animation,1226863,movie,Roxana Ortega,98292,1,female,,Ukiki (voice),True,15,minor,0.0185,Hispanic/Latino,high,neutral,flat,none,low
The Super Mario Galaxy Movie,2026,2026,1,Family|Comedy|Adventure|Fantasy|Animation,1226863,movie,Virginia Dare Jelenic,6114304,0,unspecified,,Yellow Luma (voice),True,16,minor,0.0174,White,medium,neutral,flat,none,low
The Super Mario Galaxy Movie,2026,2026,1,Family|Comedy|Adventure|Fantasy|Animation,1226863,movie,Eric Bauza,89599,2,male,,Toad General / Pajama Toad (voice),True,17,minor,0.0164,Mixed/Multiracial,medium,neutral,flat,none,low
The Super Mario Galaxy Movie,2026,2026,1,Family|Comedy|Adventure|Fantasy|Animation,1226863,movie,Carlos Alazraqui,59784,2,male,,Additional Voices (voice),True,18,minor,0.0154,Hispanic/Latino,high,neutral,flat,none,low
The Super Mario Galaxy Movie,2026,2026,1,Family|Comedy|Adventure|Fantasy|Animation,1226863,movie,Hope Levy,64450,1,female,,Additional Voices (voice),True,19,minor,0.0146,White,high,neutral,flat,none,low
The Super Mario Galaxy Movie,2026,2026,1,Family|Comedy|Adventure|Fantasy|Animation,1226863,movie,Monia Ayachi,3298731,1,female,,Additional Voices (voice),True,20,minor,0.0139,Middle Eastern,medium,neutral,flat,none,low
Apex,2026,2026,1,Action|Thriller,1318447,movie,Charlize Theron,6885,1,female,,Sasha,True,1,lead,0.3145,White,high,neutral,flat,none,low
Apex,2026,2026,1,Action|Thriller,1318447,movie,Taron Egerton,1303037,2,male,,Ben,True,2,lead,0.1572,White,high,protagonist,significant,positive,medium
Apex,2026,2026,1,Action|Thriller,1318447,movie,Eric Bana,8783,2,male,,Tommy,True,3,lead,0.1048,White,high,neutral,flat,none,low
Apex,2026,2026,1,Action|Thriller,1318447,movie,Caitlin Stasey,145245,1,female,,Leah,True,4,supporting,0.0786,White,high,neutral,flat,none,low
Apex,2026,2026,1,Action|Thriller,1318447,movie,Bessie Holland,2933227,1,female,,Cashier,True,5,supporting,0.0629,White,high,neutral,flat,none,low
Apex,2026,2026,1,Action|Thriller,1318447,movie,Zachary Garred,1245420,2,male,,Sean,True,6,supporting,0.0524,White,medium,neutral,flat,none,low
Apex,2026,2026,1,Action|Thriller,1318447,movie,Matt Whelan,1046893,2,male,,Hunter,True,7,supporting,0.0449,White,high,neutral,flat,none,low
Apex,2026,2026,1,Action|Thriller,1318447,movie,Rob Carlton,1240306,2,male,,2nd Hunter,True,8,supporting,0.0393,White,high,neutral,flat,none,low
Apex,2026,2026,1,Action|Thriller,1318447,movie,Aaron Pedersen,126579,2,male,,Park Ranger,True,9,supporting,0.0349,Mixed/Multiracial,high,neutral,flat,none,low
Apex,2026,2026,1,Action|Thriller,1318447,movie,Duncan Fellows,1928966,2,male,,Dad,True,10,supporting,0.0314,White,high,neutral,flat,none,low
Apex,2026,2026,1,Action|Thriller,1318447,movie,Julia Ohannessian,3044177,0,unspecified,,Mom,True,11,minor,0.0286,White,medium,neutral,flat,none,low
Apex,2026,2026,1,Action|Thriller,1318447,movie,Niam Hogan,6163716,0,unspecified,,Boy,True,12,minor,0.0262,White,medium,neutral,flat,none,low
Apex,2026,2026,1,Action|Thriller,1318447,movie,Willow Seager,6163717,0,unspecified,,Teenage Daughter,True,13,minor,0.0242,White,medium,neutral,flat,none,low
Swapped,2026,2026,1,Animation|Family|Fantasy|Adventure|Comedy,1007757,movie,Michael B. Jordan,135651,2,male,,Ollie (voice),True,1,lead,0.2819,Black,high,neutral,flat,none,low
Swapped,2026,2026,1,Animation|Family|Fantasy|Adventure|Comedy,1007757,movie,Juno Temple,36594,1,female,,Ivy (voice),True,2,lead,0.1409,White,high,neutral,flat,none,low
Swapped,2026,2026,1,Animation|Family|Fantasy|Adventure|Comedy,1007757,movie,Tracy Morgan,56903,2,male,,Boogle / Firewolf (voice),True,3,lead,0.094,Black,high,neutral,flat,none,low
Swapped,2026,2026,1,Animation|Family|Fantasy|Adventure|Comedy,1007757,movie,Cedric the Entertainer,5726,2,male,,Caloo (voice),True,4,supporting,0.0705,Black,high,neutral,flat,none,low
Swapped,2026,2026,1,Animation|Family|Fantasy|Adventure|Comedy,1007757,movie,Justina Machado,95517,1,female,,Calli (voice),True,5,supporting,0.0564,Hispanic/Latino,high,neutral,flat,none,low
Swapped,2026,2026,1,Animation|Family|Fantasy|Adventure|Comedy,1007757,movie,Nate Torrence,41565,2,male,,Lodd (voice),True,6,supporting,0.047,White,high,neutral,flat,none,low
Swapped,2026,2026,1,Animation|Family|Fantasy|Adventure|Comedy,1007757,movie,Camden Brooks,4663666,2,male,,Young Ollie (voice),True,7,supporting,0.0403,White,medium,neutral,flat,none,low
